S. No.,Chapter,Schedules,Description of Goods,CGST Rate (%),SGST / UTGST Rate (%),IGST Rate (%),Compensation Cess
364A,8476,III,Automatic   goods-vending   machines   (for,0.09,0.09,0.18,
365A,8478,III,"Machinery  for   preparing   or   making   up tobacco,     not     specified     or     included",0.09,0.09,0.18,
369A,8483,III,"Transmission  shafts  (including  cam shafts   and    crank    shafts)    and    cranks; bearing housings and plain shaft  bearings; gears  and  gearing;  ball  or  roller  screws; gear   boxes   and   other   speed   changers, including torque converters; flywheels and pulleys,  including  pulley  blocks;  clutches",0.09,0.09,0.18,
369B,8484,III,"Gaskets    and    similar    joints    of    metal sheeting  combined  with  other  material  or of  two  or  more  layers  of  metal;  sets  or assortments  of  gaskets  and  similar  joints, dissimilar    in   composition,    put    up   in pouches,  envelopes  or  similar  packings;",0.09,0.09,0.18,
369C,8485,III,Machines for Additive Manufacturing,0.09,0.09,0.18,
36A,2403 99 90,Compensation Cess,"All goods, other than pan masala containing tobacco 'gutkha', bearing a brand name",,,,0.43R per unit
36B,2403 99 90,Compensation Cess,"All goods, other than pan masala containing tobacco 'gutkha', not bearing a brand name",,,,0.43R per unit
37*,9602,II,"Worked   vegetable   or   mineral   carving,   articles thereof,   articles  of  wax,  of  stearin,  of  natural",0.06,0.06,0.12,
371A,84 or 85,III,E-waste,0.09,0.09,0.18,
376A,8506,III,Primary cells and primary batteries,0.09,0.09,0.18,
376AA,8507 60 00,III,Lithium-ion Batteries,0.09,0.09,0.18,
376AAA,8507,III,Lithium-ion    accumulators    (other    than,0.09,0.09,0.18,
376AB,8508,III,Vacuum cleaners,0.09,0.09,0.18,
376AC,8509,III,"Electro-mechanical   domestic   appliances, with  self-contained  electric  motor,  other than   vacuum  cleaners   of   heading   8508",0.09,0.09,0.18,
376AD,8510,III,"Shavers,  hair  clippers  and  hair-removing",0.09,0.09,0.18,
376B,8512,III,"Electrical lighting or signalling equipment (excluding    articles    of    heading    8539), windscreen      wipers,      defrosters      and demisters,  of  a  kind  used  for  cycles  or",0.09,0.09,0.18,
376C,8513,III,"Portable    electric    lamps    designed    to function by their own source of energy (for example,    dry    batteries,    accumulators,",0.09,0.09,0.18,
378A,8516,III,"Electric    instantaneous    or    storage    water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro   thermic   hairdressing   apparatus   (for example, hair dryers, hair curlers, curling tong heaters)  and  hand  dryers;  electric smoothing irons;  other  electro-thermic  appliances  of  a kind   used   for   domestic   purposes;   electric",0.09,0.09,0.18,
38*,9701,II,"Hand    paintings    drawings    and    pastels    (incl Mysore   painting,   Rajasthan   painting,   Tanjore",0.06,0.06,0.12,
380A,8519,III,Sound recording or reproducing apparatus,0.09,0.09,0.18,
381A,8522,III,Parts   and   accessories   suitable   for   use,0.09,0.09,0.18,
382A,8524,III,"Flat  Panel  Display  Modules,  Whether  or",0.09,0.09,0.18,
383A,8526,III,"Radar   apparatus,   radio   navigational   aid apparatus    and    radio    remote    control",0.09,0.09,0.18,
383B,8527,III,"Reception        apparatus        for        radio- broadcasting, whether or not combined, in the same housing, with sound recording or",0.09,0.09,0.18,
383C,8528,III,Television  set   (including   LCD   or   LED television of screen size not exceeding  [32,0.09,0.09,0.18,
384A,8529,III,Parts suitable  for use  solely or principally,0.09,0.09,0.18,
384B,8530,III,"Electrical    signalling,    safety    or    traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port  installations  or  airfields  (other  than",0.09,0.09,0.18,
384C,8531,III,"Electric     sound     or     visual     signalling apparatus    (for    example,    bells,    sirens, indicator  panels,  burglar  or  fire  alarms),",0.09,0.09,0.18,
388A,8536,III,"Electrical    apparatus    for    switching    or protecting electrical circuits, or for making connections to or in electrical circuits (for example,   switches,   relays,   fuses,   surge suppressors,  plugs,  sockets,  lamp  holders, and  other  connectors,  junction  boxes),  for a   voltage   not   exceeding   1,000   volts   : connectors  for  26  optical  fibres,  optical",0.09,0.09,0.18,
388B,8537,III,"Boards,  panels,  consoles,  desks,  cabinets and  other   bases,   equipped  with  two  or more  apparatus of  heading  8535  or  8536, for  electric  control  or  the  distribution  of electricity,   including  those  incorporating instruments or apparatus of chapter 90, and",0.09,0.09,0.18,
39*,9703,II,"Original  sculptures  and  statuary,  in  metal,  stone",0.06,0.06,0.12,
397A,8547,III,"Insulating  fittings  for  electrical  machines, appliances   or   equipment,   being   fittings wholly  of  insulating  material  apart  from any   minor   components   of   metal   (for example,   threaded   sockets)   incorporated during moulding solely for the purposes of assembly, other than insulators of heading 8546;  electrical  conduit  tubing  and  joints therefor,    of    base    metal    lined    with",0.09,0.09,0.18,
398A,8601,III,Rail    locomotives    powered    from    an,0.09,0.09,0.18,
398B,8602,III,"Other     rail     locomotives;     locomotive tenders;      such      as      Diesel      electric locomotives,     Steam    locomotives    and",0.09,0.09,0.18,
398C,8603,III,Self-propelled      railway      or      tramway,0.09,0.09,0.18,
398D,8604,III,"Railway    or    tramway    maintenance    or service   vehicles,   whether   or   not   self- propelled (for example, workshops, cranes, ballast    tampers,    track    liners,    testing",0.09,0.09,0.18,
398E,8605,III,"Railway  or  tramway  passenger  coaches, not   self-propelled;   luggage   vans,   post office  coaches  and  other  special  purpose railway   or   tramway   coaches,   not   self- propelled   (excluding   those   of   heading",0.09,0.09,0.18,
398F,8606,III,"Railway   or   tramway   goods   vans   and wagons, not self-propelled",0.09,0.09,0.18,
398G,8607,III,"Parts  of  railway  or  tramway  locomotives or  rolling-stock;  such  as  Bogies,  bissel- bogies,    axles    and    wheels,    and    parts",0.09,0.09,0.18,
398H,8608,III,"Railway  or   tramway  track   fixtures   and fittings;   mechanical   (including   electro- mechanical)   signalling,   safety   or   traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port  installations  or  airfields;  parts  of  the",0.09,0.09,0.18,
399A,8702,III,Buses  for  use  in  public  transport  which,0.09,0.09,0.18,
4*,4414,II,"Wooden    frames    for    painting,    photographs, mirrors etc",0.06,0.06,0.12,
401A,8705,III,"Special  purpose  motor  vehicles,  other  than those principally designed for the transport of persons  or  goods  (for  example,  breakdown lorries,   crane   lorries,   fire   fighting   vehicles, concrete-mixer  lorries,  road  sweeper  lorries, spraying   lorries,   mobile   workshops,   mobile",0.09,0.09,0.18,
402A,8709,III,"Works  trucks,  self-propelled,  not  fitted  with lifting   or   handling   equipment,  of   the   type used  in  factories,  warehouses,  dock  areas  or airports for short distance transport of goods; tractors  of  the  type  used  on  railway  station",0.09,0.09,0.18,
403A,8716,III,"Trailers  and  semi-trailers;  other  vehicles,  not mechanically  propelled;  parts  thereof  [other than Self-loading or self-unloading trailers for agricultural   purposes,   and   Hand   propelled vehicles  (e.g.  hand  carts,  rickshaws  and  the",0.09,0.09,0.18,
406A,8807,III,Parts of goods of heading 8801”;,0.09,0.09,0.18,
411A,9005,III,"Binoculars,    monoculars,    other    optical telescopes,   and   27   mountings   therefor; other     astronomical     instruments     and mountings   therefor,   but   not   including",0.09,0.09,0.18,
411B,9006,III,Photographic (other than cinematographic) cameras; photographic flashlight apparatus and  flashbulbs other than discharge  lamps,0.09,0.09,0.18,
411C,9007,III,"Cinematographic  cameras  and  projectors, whether    or    not    incorporating    sound",0.09,0.09,0.18,
411D,9008,III,"Image         projectors,         other         than",0.09,0.09,0.18,
411E,9010,III,"Apparatus and equipment for photographic (including   cinematographic)   laboratories, not specified or included elsewhere in this",0.09,0.09,0.18,
411F,9011,III,"Compound  optical  microscopes,  including those             for             photomicrography",0.09,0.09,0.18,
411G,9012,III,Microscopes        other        than        optical microscopes;,0.09,0.09,0.18,
411H,9013,III,"Lasers,  other  than  Laser  Diodes;  other Optical  Appliances  and  Instruments,  not specified   or   included   elsewhere   in   this",0.09,0.09,0.18,
411I,9014,III,Direction     finding     compasses;     other navigational instruments and appliances,0.09,0.09,0.18,
411J,9015,III,"Surveying   (including   photogrammetrical surveying),  hydrographic,  oceanographic, hydrological,           meteorological          or geophysical   instruments   and   appliances,",0.09,0.09,0.18,
413A,9022,III,"Apparatus based on the use of X-rays or of  alpha,  beta,  gamma  or  other  ionizing radiations  [other  than  those  for  medical, surgical,    dental    or    veterinary    uses], including    radiography    or    radiotherapy apparatus,  X-ray  tubes  and  other  X-ray generators,     high     tension     generators, control   panels   and   desks,   screens,   28",0.09,0.09,0.18,
413B,9023,III,"Instruments,     apparatus     and     models, designed for demonstrational purposes (for example,   in   education   or   exhibitions),",0.09,0.09,0.18,
41A,"2009 89 90, 27",II,Tender coconut water pre-packaged and labelled.,0.06,0.06,0.12,Nil
423A,9101,III,"Wrist-watches,  pocket-watches  and  other watches, including stop-watches, with case of  precious  metal  or  of  metal  clad  with",0.09,0.09,0.18,
423B,9102,III,"Wrist-watches,  pocket-watches  and  other",0.09,0.09,0.18,
424A,9104,III,"Instrument  panel  clocks  and  clocks  of  a similar     type     for     vehicles,     aircraft,",0.09,0.09,0.18,
425A,9106,III,"Time   of   day   recording   apparatus   and apparatus   for   measuring,   recording   or otherwise indicating intervals of time, with clock    or    watch    movement    or    with synchronous   motor   (for   example,   time-",0.09,0.09,0.18,
425B,9107,III,Time    switches    with    clock    or    watch,0.09,0.09,0.18,
425C,9108,III,"Watch      movements,      complete      and",0.09,0.09,0.18,
428A,9111,III,Watch cases and parts thereof,0.09,0.09,0.18,
429A,9113,III,"Watch   straps,   watch   bands   and   watch bracelets, and parts thereof",0.09,0.09,0.18,
429B,9201,III,"Pianos, including automatic pianos; harpsi- chords    and    other    keyboard    stringed",0.09,0.09,0.18,
429C,9202,III,Other    string    musical   instruments   (for,0.09,0.09,0.18,
429D,9205,III,"Wind  musical  instruments  (for  example, keyboard      pipe      organs,      accordions, clarinets,  trumpets,  bagpipes),  other  than fairground  organs  and  mechanical  street",0.09,0.09,0.18,
429E,9206 00 00,III,Percussion     musical     instruments     (for,0.09,0.09,0.18,
429F,9207,III,"Musical instruments, the sound of which is produced,     or      must      be      amplified, electrically  (for  example,  organs,  guitars,",0.09,0.09,0.18,
429G,9208,III,"Musical      boxes,      fairground      organs, mechanical    street    organs,    mechanical singing   birds,   musical   saws   and   other musical instruments not falling within any other  heading  of this  chapter;  decoy calls of all kinds; whistles, call horns and other",0.09,0.09,0.18,
429H,9209,III,"Parts    (for    example,    mechanisms    for musical    boxes)    and    accessories    (for example,    cards,    discs    and    rolls    for mechanical     instruments)     of     musical instruments; metronomes, tuning forks and",0.09,0.09,0.18,
42A,87,Compensation Cess,"All  old   and   used   motor   vehicles   Explanation: Nothing  contained  in  this  entry shall  apply  if  the supplier of such goods has availed input tax credit as defined in clause (63) of section 2 of the Central Goods  and  Services  Tax  Act,  2017,  CENVAT",,,,Nil
42B,87,Compensation Cess,Fuel Cell Motor Vehicles,,,,Nil
435A,9401 [other than,III,"Seats  (other  than  those  of  heading  9402), whether  or  not  convertible  into  beds,  and parts  thereof  [other  than  seats  of  a  kind",0.09,0.09,0.18,
438A,9405,III,"Luminaires and lighting fittings including searchlights    and    spotlights    and    parts thereof,     not     elsewhere     specified     or included;   illuminated   signs,   illuminated nameplates    and    the    like,    having    a permanently  fixed  light  source,  and  parts thereof not elsewhere specified or included",0.09,0.09,0.18,
43A,710,Nil rate,Vegetables (uncooked or cooked by steaming or boiling,0.0,0.0,0.0,
43B,711,Nil rate,"Vegetables  provisionally  preserved,  but  unsuitable  in that state for immediate consumption",0.0,0.0,0.0,
440A,9504,III,"Video    game    consoles    and    machines, articles of funfair, table  or parlour  games, including pintables, billiards, special tables for  casino  games  and  automatic  bowling alley equipment [other than playing cards, ganjifa card, chess board, carom board and",0.09,0.09,0.18,
440B,9505,III,"Festive,   carnival  or   other   entertainment articles,   including   conjuring   tricks   and",0.09,0.09,0.18,
441A,9508,III,"Travelling     Circuses     and     Travelling Menageries;  Amusement  Park  Rides  and Water     Part    Amusements;    Fairground Amusements,         including         Shooting",0.09,0.09,0.18,
441B,9602,III,"Worked   vegetable   or   mineral   carving material  and   articles   of  these   materials moulded   or   carved   articles   of   wax,   of stearin, of natural gums or natural resins or of modelling pastes, and other moulded or carved  articles,  not  elsewhere  specified  or",0.09,0.09,0.18,
448A,9611,III,"Date,  sealing  or  numbering  stamps,  and the  like  (including  devices  for  printing  or embossing  labels),  designed  for  operating in   the   hand;   hand-operated   composing",0.09,0.09,0.18,
449AA,9616,III,"Scent sprays and similar toilet sprays, and mounts  and  heads  therefor;  powder-puffs and  pads  for  the  application  of  cosmetics",0.09,0.09,0.18,
449A,9613,III,"Cigarette   lighters   and   other   lighters, whether  or  not  mechanical  or  electrical,",0.09,0.09,0.18,
449B,9617,III,"Vacuum flasks and other vacuum vessels, Complete;  parts  thereof  other  than  glass",0.09,0.09,0.18,
449C,9618,III,Tailors'  dummies  and  other  lay  figures;,0.09,0.09,0.18,
452A,4011 70 00,III,Tyre for tractors,0.09,0.09,0.18,
452B,4013 90 49,III,Tube for tractor tyres,0.09,0.09,0.18,
452C,8408 20 20,III,Agricultural   Diesel   Engine   of   cylinder,0.09,0.09,0.18,
452D,8413 81 90,III,Hydraulic Pumps for Tractors,0.09,0.09,0.18,
452E,8708 10 10,III,Bumpers and parts thereof for tractors,0.09,0.09,0.18,
452F,8708 30 00,III,Brakes  assembly  and  its  parts  thereof  for,0.09,0.09,0.18,
452G,8708 40 00,III,Gear boxes and parts thereof for tractors,0.09,0.09,0.18,
452H,8708 50 00,III,Transaxles and its parts thereof for tractors,0.09,0.09,0.18,
452I,8708 70 00,III,Road   wheels   and   parts   and   accessories,0.09,0.09,0.18,
452J,8708 91 00,III,(i)  Radiator   assembly   for   tractors   and parts thereof,0.09,0.09,0.18,
452K,8708 92 00,III,Silencer  assembly  for  tractors  and  parts,0.09,0.09,0.18,
452L,8708 93 00,III,Clutch  assembly  and  its  parts  thereof  for,0.09,0.09,0.18,
452M,8708 94 00,III,Steering  wheels  and  its  parts  thereof  for,0.09,0.09,0.18,
452N,8708 99 00,III,Hydraulic and its parts thereof for tractors,0.09,0.09,0.18,
452O,8708 99 00,III,"Fender,  Hood,  wrapper,  Grill,  Side  Panel, Extension   Plates,   Fuel   Tank   and   parts",0.09,0.09,0.18,
452P,Any Chapter,III,Permanent transfer of Intellectual Property,0.09,0.09,0.18,
452Q,Any Chapter,III,Supply  of  any  goods  other  than  capital,0.09,0.09,0.18,
46A,"2106 90 91, 714",II,Diabetic foods,0.06,0.06,0.12,
46B,"2201, 8",II,Drinking water packed in 20 litre bottles,0.06,0.06,0.12,
4A,2202 99 90,Compensation Cess,Caffeinated Beverages,,,,0.12
4B,2202,Compensation Cess,Carbonated  Beverages  of  Fruit  Drink  or  Carbonated  Beverages with Fruit Juice.,,,,0.12
5*,4420,II,"Statuettes   &  other   ornaments   of   wood,   wood marquetry  &  inlaid,  jewellery  box,  wood  lathe and  lacquer  work  [including  lathe  and  lacquer",0.06,0.06,0.12,
52A,"3208, 8703",III,"Paints  and  varnishes  (including  enamels and lacquers) based on synthetic polymers or  chemically  modified  natural  polymers, dispersed  or  dissolved  in  a  non-aqueous medium; solutions as defined in Note 4 to",0.09,0.09,0.18,0.2
52B,"3209, 8703",III,"Paints  and  varnishes  (including  enamels and lacquers) based on synthetic polymers or  chemically  modified  natural  polymers, dispersed   or   dissolved   in   an   aqueous",0.09,0.09,0.18,0.22
52C,3210,III,"Other   paints   and   varnishes   (including enamels,      lacquers     and     distempers); prepared water pigments of a kind used for",0.09,0.09,0.18,
54A,3213,III,"Artists’, students’ or signboard painters’ colours,     modifying     tints,     amusement colours and the like, in tablets, tubes, jars, bottles,   pans   or   in   similar   forms   or",0.09,0.09,0.18,
54B,3214,III,"Glaziers’    putty,    grafting    putty,    resin cements,  caulking  compounds  and  other mastics;  painters’  fillings;  non-  refractory surfacing  preparations  for  facades,  indoor",0.09,0.09,0.18,
54C,3215,III,"All Goods, including printing ink, writing or drawing ink and other inks, whether or not concentrated or solid, fountain pen ink, ball pen ink",0.09,0.09,0.18,
57A,"2804 40 10, 3303, 813",II,Medical grade oxygen,0.06,0.06,0.12,
6*,4503 90 90,II,Art ware of cork [including articles of sholapith],0.06,0.06,0.12,
60A,3307,III,"Pre-shave,      shaving      or      after-shave preparations,   personal   deodorants,   bath preparations,     depilatories     and     other perfumery, cosmetic or toilet preparations, not    elsewhere    specified    or    included; prepared room deodorisers, whether or not perfumed or having disinfectant properties [other than odoriferous preparations which operate   by   burning,   agarbattis,   lobhan, dhoop batti, dhoop, sambhrani]",0.09,0.09,0.18,
61A,3402,III,"Organic  surface-active  agents  (other  than soap);        surface-active        preparations, washing  preparations  (including  auxiliary washing     preparations)     and     cleaning preparations,   whether   or   not   containing soap,  other  than  those  of  heading  3401 [other than Sulphonated castor oil, fish oil",0.09,0.09,0.18,
61B,3403,III,Lubricating       preparations       (including,0.09,0.09,0.18,
62A,3405,III,"Polishes     and     creams,     for     footwear, furniture,    floors,    coachwork,    glass   or metal,  scouring  pastes  and  powders  and similar preparations (whether or not in the form of paper,  wadding,  felt,  nonwovens, cellular     plastics     or     cellular     rubber, impregnated,  coated or covered  with such preparations), excluding waxes of heading",0.09,0.09,0.18,
7*,4601 and 4602,I,"Mats,  matting  and  screens  of  vegetable  material, basketwork,   wickerwork   and   other   articles   of vegetable   materials   or   other   plaiting   material, articles  of  loofah  (including  of  bamboo,  rattan, canes   and   other   natural   fibres,   dry   flowers (naturally     dried),     articles     thereof,     ringal, raambaan  article,  shola  items,  Kouna/chumthang (water  reeds)  crafts,  articles  of  Water  hyacinth,",0.025,0.025,0.05,
71A,"1209, 3602",I,Tamarind seeds meant for any use other than sowing,0.025,0.025,0.05,
72A,3604,III,"Fireworks,  signalling  flares,  rain  rockets,",0.09,0.09,0.18,
73A,3606,III,Ferro-cerium  and  other  pyrophoric  alloys in   all   forms;   articles   of   combustible materials  as  specified  in  Note  2  to  this Chapter;  such  as  liquid  or  liquefied-gas fuels   in   containers   of  a   kind   used   for,0.09,0.09,0.18,
75A,3605 00 10,II,All goods,0.06,0.06,0.12,
76A,13,I,Tamarind Kernel powder,0.025,0.025,0.05,
78A,"1404 or, 3808, 1106 10 10",I,Mehendi paste in cones,0.025,0.025,0.05,
8*,4823,I,Articles made of paper mache,0.025,0.025,0.05,
80A,3826,II,Bio-diesel  (other  than  bio-diesel  supplied to  Oil  Marketing  Companies  for  blending,0.06,0.06,0.12,
85A,4016,II,Rubber bands,0.06,0.06,0.12,
85B,4107,II,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 4114",0.06,0.06,0.12,
85C,4112,II,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of sheep or lamb, without wool on, whether or not split, other than leather of heading 4114",0.06,0.06,0.12,
85D,4113,II,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of other animals, without wool or hair on, whether or not split, other than leather of heading 4114",0.06,0.06,0.12,
85E,4114,II,Chamois (including combination chamois) leather; patent leather and patent laminated leather; metallised leather,0.06,0.06,0.12,
85F,4115,II,"Composition leather with a basis of leather or leather fibre, in slabs, sheets or strip, whether or not in rolls; parings and other waste of leather or of composition leather, not suitable for the manufacture of leather articles; leather dust, powder and flour”",0.06,0.06,0.12,
87A,1210 10 00,Nil rate,"Hop cones, neither ground nor powdered nor in the form",0.0,0.0,0.0,
89A,3811,III,"Anti-knock        preparations,        oxidation inhibitors,     gum     inhibitors,     viscosity improvers, anti-corrosive preparations and other  prepared  additives,  for  mineral  oils (including  gasoline)  or  for  other  liquids",0.09,0.09,0.18,
9*,"5607, 5609",I,Coir articles,0.025,0.025,0.05,
90A,3813,III,Preparations     and     charges     for     fire- extinguishers;  charged  fire  extinguishing grenades,0.09,0.09,0.18,
90B,3814,III,"Organic  composite  solvents  and  thinners,",0.09,0.09,0.18,
91A,1701 or 1702,I,"Jaggery of all types including Cane Jaggery (gur), Palmyra Jaggery, pre-packaged and labelled; Khandsari Sugar, pre-packaged and labelled; Rab, pre-packaged and labelled",0.025,0.025,0.05,
92A,"44, 68, 83, 1401",II,"Idols of wood, stone [including marble] and metals  [other  than  those  made  of  precious",0.06,0.06,0.12,
93A,1404 90 60,Nil rate,"Coconut shell, unworked",0.0,0.0,0.0,
93B,1404 90 90,Nil rate,"Vegetable   materials,   for   manufacture   of   jhadoo   or",0.0,0.0,0.0,
94A,3819,III,"Hydraulic  brake  fluids  and  other  prepared liquids   for   hydraulic   transmission,   not containing or containing less than 70% by",0.09,0.09,0.18,
94B,3820,III,Anti-freezing   preparations   and   prepared,0.09,0.09,0.18,
96A,4409,II,Bamboo flooring,0.06,0.06,0.12,
97A,2009 89 90,Nil rate,Tender  coconut  water other than pre-packaged and labelled.,0.0,0.0,0.0,
98A,"1904, 3827",I,"Puffed rice, commonly known as Muri, flattened or beaten rice, commonly known as Chira, parched rice, commonly known as khoi, parched paddy or rice coated with sugar or gur, commonly known as Murki, pre-packaged and labelled”;",0.025,0.025,0.05,
99A,"1905 or, 4418",I,"Khakhra, Plain chapatti or roti",0.025,0.025,0.05,
99B,4419,II,Tableware and Kitchenware of wood],0.06,0.06,0.12,
9A,403,I,"Curd, Lassi, Butter milk, pre-packaged and labelled",0.025,0.025,0.05,
[103A,26,Nil rate,Uranium Ore concentrate,0.0,0.0,0.0,
[132A,5401,II,"Sewing    thread    of    manmade    filaments,",0.06,0.06,0.12,
[180A,6807,III,Articles  of  asphalt  or  of  similar  material,0.09,0.09,0.18,
